,Celltype1,Celltype2,Celltype3,Celltype4,Celltype5,Celltype6,Celltype7,Celltype8,Celltype9,Celltype10
hsa04660,0.907510480288768,0.999658814945066,0.953164746887059,0.798186073545047,0.935053774109222,0.554059030164899,0.985777923526139,0.846274341197566,0.513524793983655,0.766182945608491
hsa04662,0.138673982214651,0.361580596059296,7.04033031355738e-21,0.600864331937656,0.0037917912647875,0.560192526789895,0.5112979291337,0.0195758585824219,0.783654878353853,0.447557568853428
hsa04664,0.0234541508794141,0.215139070668564,4.74298551096035e-17,0.385513788222901,0.00164209020126667,0.398105360557969,0.295237988080469,0.0350044912391222,0.560637843368998,0.0930712683464897
hsa04666,0.999999791882124,0.999999999854834,0.00036666453699163,1,1,0.999078979491482,0.999999999824305,0.597041323158976,0.999989957646839,0.999459408891252
hsa04668,0.0327811485125691,0.615455475641442,1.248672830754e-18,0.0221246776590537,0.752591985474425,0.386910446537319,0.568362543683647,0.098487063122617,0.973713671376367,0.253696005091147
hsa04670,0.0153476372875214,0.561050530190953,0.46438659263213,0.77448404247335,0.196782592770336,0.398105360557969,0.839235893312207,0.43098092051724,0.852972644473223,0.513394165932735
hsa04672,0.0010878271086651,0.118389975147153,0.780085704494049,7.87838797867182e-07,0.410686157466329,0.884176064198007,0.949431252015243,0.606279816513207,0.170245603571618,0.234580006115413
hsa04710,0.541215420854655,0.489460772143856,0.740351200612624,0.946774418172001,0.919835669800079,0.398105360557969,0.688933225575324,0.345258347407276,0.45911392032095,0.857600589530859
hsa04713,1.35608171922117e-09,3.63708046342264e-10,1.68575230011093e-53,6.39978561527951e-26,5.2503200648194e-16,0.0107511915562096,5.4648711749876e-13,5.30775281889775e-08,2.21791009073718e-06,4.82510754785819e-11
hsa04714,0.0100154972385357,0.999999985505164,1,1,1,0.734732258484939,0.999999977477056,0.999998996151478,0.999999999999972,0.0743748715422468
hsa04720,7.27081402399061e-14,6.43526570279268e-15,3.59872844628612e-129,4.04980616112165e-43,2.9904485885325e-31,0.00372814927721089,5.49906219438173e-19,1.58912318208812e-10,6.46673073068006e-12,2.74680733058399e-11
hsa04722,7.81852590123392e-06,0.0549147689710668,7.33940029911166e-66,2.10039801115449e-25,8.83063312463812e-13,0.00949703630563356,3.31807747398725e-15,6.14115414647874e-05,9.86851053479603e-05,5.21418287976458e-09
hsa04723,0.00331466368053579,0.0121410892690748,0.00182944389267024,0.683750078259222,0.0397472395288293,0.302749678209009,0.405533290217273,0.412251667415732,0.00107162972364789,0.124980681338007
hsa04724,0.170926795434466,0.226461124086633,2.20530993798692e-05,0.82565797009841,0.529731155766805,0.398105360557969,0.701626024423786,0.010352389818782,0.303859769829771,0.343486595699727
hsa04725,0.0137602289475916,0.000150867613972403,1.69249688971545e-17,0.0681966150757009,0.00245208178891742,0.398105360557969,0.517621392126269,0.119884935764669,0.960749876966435,0.306796520860749
hsa04726,0.031352618084784,0.107519158863301,2.51586939080943e-10,0.299195258001858,0.136044493312018,0.398105360557969,0.509942477504457,0.179501607318126,0.199089615533451,0.1387904548658
hsa04727,0.0538360482510103,0.226461124086633,0.000101507734481588,0.582026224163406,0.524959771336123,0.266541964570499,0.709437326950496,0.0146373694239279,0.207881182129798,0.496030677847448
hsa04728,1.06299093461441e-09,8.05738784395552e-10,6.97890748464899e-87,1.6171882295625e-28,3.80287643985215e-17,0.0066118541188747,6.67573534693549e-14,9.57003461313216e-08,7.2696184480498e-12,1.09312851635879e-12
hsa04744,1.81050261981093e-07,1.44948356331501e-08,1.48177965686834e-46,7.15347920991024e-19,2.469499672747e-13,0.0201578508687518,2.61723788356155e-10,4.87752213140032e-06,1.72036171889758e-06,7.87650129955795e-08
hsa04750,0.000162684704152497,0.109157150440025,2.68615382357793e-32,1.07410733052729e-14,5.314761668825e-11,0.0176513599572396,8.56931291811298e-12,0.000823556162183105,1.92693707765379e-05,1.14411045720034e-06
hsa04810,1,0.999999999999924,0.201434086204818,1,1,0.997505834918558,0.999999981177267,0.946740142131182,0.999884656663245,0.999999996444547
hsa04910,0.999997847222455,0.899546562888463,1,0.495782604182829,0.460739550701345,0.0201578508687518,0.420532913902283,0.943092532819287,0.000100168431513159,0.997481000574935
hsa04911,0.0879112011092708,0.167553740938045,0.792908121756586,0.763889967838338,0.200870110795399,0.398105360557969,0.565243169782313,0.433953555113068,0.00429594234884761,0.265383339875686
hsa04912,4.00967730074928e-12,2.60353116922215e-13,2.48041992656518e-103,9.22120900867184e-36,1.33386618288716e-26,0.0057328949496414,1.33070887917471e-16,3.01232818952022e-09,1.44949699262481e-10,2.13961611359707e-10
hsa04913,0.999998498225,0.186602609036355,1,0.904946317017481,0.566382111410534,0.398105360557969,0.321548736434531,0.902601864695983,0.467719883051088,0.999956892313046
hsa04914,0.00484672196062178,2.91214722464396e-06,2.73665920696165e-47,0.0468164480385635,0.000370354755300323,0.398105360557969,0.0111523221713607,0.0328230826351794,0.313477735267235,0.0674631794283214
hsa04915,1.01126999473141e-05,8.66260635158726e-06,5.12523348252069e-82,3.22315115225994e-31,4.68228329434286e-17,0.0280220340847181,1.34711063244869e-14,1.1509821195065e-06,8.92587731840591e-07,7.78298170376686e-09
hsa04916,0.000123465662959333,8.93017481044666e-10,2.34468453699105e-72,8.46649725310624e-25,1.27895017264174e-18,0.0186909831861692,4.36689266804033e-12,2.60377081741947e-07,2.3137552975716e-05,1.24630627640666e-06
hsa04917,0.710180364459172,1.7794371694429e-05,4.25808608269016e-23,0.447557568853429,0.0218284516669788,0.668906694705043,0.0184497122550534,0.0368950294728992,0.404729326698733,0.954744298124454
hsa04918,0.0809903732310786,0.162212476711786,0.761184718210432,0.756547805393169,0.191653768059557,0.398105360557969,0.53475818274959,0.397603113877863,0.00244361212906882,0.217750196129542
hsa04919,0.999694817778862,0.999999999999102,1,0.9999999999878,0.999999999979383,0.564018734486905,0.993430977240411,0.999889189755802,0.996356673295976,0.964239392571873
hsa04920,0.999536641378148,0.63069228830014,0.99999999999988,0.996429235484317,0.999910999933252,0.707341514568083,0.674788965363821,0.980721731933127,0.261540591913914,0.999432681834353
hsa04921,0.999999999808873,0.746168853445879,2.97047251303642e-38,3.27711113190811e-09,0.118830990143347,0.703323792708384,3.41759335273603e-14,0.161927954370478,0.999905288329248,0.999997583664124
hsa04922,0.0737918928683933,3.13658722813207e-05,0.179636427763619,4.11460055978812e-05,6.29583055816292e-06,0.0300796261391019,0.420532913902283,0.395660354171021,0.393455836822979,0.0176185980738272
hsa04923,0.000385204760139603,0.898508859891951,0.0858746981486996,0.646625567253279,0.968992180416104,0.398105360557969,0.913189530963073,0.589219065499575,0.247343859715852,0.0104209508788261
hsa04925,4.2843132694564e-09,6.39630310577613e-10,1.30634496849015e-73,1.83420500157809e-24,7.33881054703777e-19,0.0103179887115938,2.16972211284234e-12,8.09295474438967e-09,9.92587585632466e-11,6.49110582076593e-09
hsa04926,0.156218182611882,0.986601810360835,0.111578212053282,0.999561001112854,0.999721749350319,0.500774650072558,0.996495293627364,0.807682207808491,0.968574038081879,0.15926933616071
hsa04927,0.0797551467146409,0.167063541236489,0.566858983659609,0.728259800330022,0.195125048677073,0.398105360557969,0.441454650848457,0.426035288296815,0.00413227621852745,0.192664802178885
hsa04928,0.158209640126938,0.350277146785302,3.32567630056119e-13,0.979800922774017,0.832575992524196,0.516263154661837,0.999140273670377,0.542644532856406,0.99241298617097,0.281100747935325
hsa04929,0.202439992788082,0.964725585797891,0.195755038436139,0.99863840465348,0.997026201439905,0.378759657516503,0.999378616463442,0.795395805940782,0.272065260695935,0.383612774727692
hsa04930,0.953435913154354,0.00338793695250662,0.999998549585056,0.921609022300541,0.0307294114486776,0.398105360557969,0.425411669947938,0.544643125518856,0.395268379747153,0.972274944330741
hsa04931,1,0.999999709583094,1,0.999999999788577,0.999999999999998,0.70197896101534,0.999988098791533,0.999996142288394,0.994506461529117,0.999999999911627
hsa04932,0.000114964779172438,0.999995715885703,1,0.999999999999982,0.99999696014014,0.423018998261937,0.996530895082378,0.999165732395234,0.999999995856096,0.0302743237075743
hsa04933,0.0320008402311899,0.982348818293435,0.912945800225985,0.559811142637019,0.344721483890804,0.211291724370333,0.846051767942382,0.533137340203536,0.24084293424173,0.0237816332533442
hsa04934,0.479859524380376,0.24176204980569,3.40423804804229e-08,0.546287870226877,0.55324720419476,0.534043202828186,0.933633469598675,0.575939757172396,0.950162161091132,0.612582443916784
hsa04935,0.998445145125765,0.999999920629886,0.999995883421697,0.999888201450485,0.999999885206551,0.621240342483497,0.99891432205543,0.950844230247479,0.999037779067185,0.785530179332202
hsa04940,0.000292410577789015,0.872656487941379,0.741428157407472,4.97047043364778e-07,0.601442708071757,0.703995164732641,0.811874754379555,0.587748332584268,0.118587970813778,0.165687704813487
hsa04970,2.07931778017873e-09,6.86741451257002e-13,2.19917896790807e-78,6.10573057886912e-21,3.09089125576683e-20,0.0135621610982687,9.70441746873971e-12,2.47360505510851e-08,6.04770728272977e-10,5.49793545139771e-10
hsa04971,2.90778622830021e-14,1.14044627338329e-14,1.12801709641339e-119,1.08694619324601e-50,1.65581434951677e-31,0.00129078413630353,1.0577019439598e-25,8.73282750596183e-12,2.83267720620277e-13,6.11748239978508e-15
hsa04972,0.172191281943327,0.150718975094695,0.957359344448173,0.787520627832217,0.369312301899935,0.398105360557969,0.852412475629781,0.559593127467659,0.364439755947442,0.425515900874969
hsa04973,0.65964736884684,0.999995850477721,1,0.98912391675088,0.999985716214449,0.398105360557969,0.998751960394693,0.997779686077048,0.0842488992015325,0.499503826672264
hsa04974,0.25095631465662,0.357190081823583,3.54222215445849e-21,0.983228443324035,0.943757508819844,0.527091912692575,0.880200866975569,0.0118590315541345,0.862300061902252,0.294675923145059
