,gene_heritability_correlation
C1orf52,-0.0266455318600626
BCL10,-0.0514155278889899
RP11-131L23.1,0.0519481308984361
DDAH1,-0.0246382093071968
RP11-131L23.2,0
RP4-621F18.2,-0.0406014623233726
RP11-290M5.4,0
CYR61,0.0992132094571353
ZNHIT6,-0.0420625410427326
COL24A1,0.00393047731477952
ODF2L,0.0196226623976774
RP4-612B15.3,0
SH3GLB1,0.05767087634321
SEP15,0.0536056509091075
HS2ST1,-0.0239300731088772
LMO4,-0.11835945613168
PKN2-AS1,-0.0317950201937482
PKN2,-0.0890519085407735
GTF2B,0.00947966762813173
CCBL2,-0.0172377176417689
RBMXL1,-0.0651087129839773
GBP3,-0.058875100420359
GBP1,-0.0704316031919536
GBP2,-0.0512248470745907
GBP7,-0.0536765158393031
GBP4,-0.0205798581990513
GBP5,0.00499450417840584
GBP6,0
LRRC8B,0.0477613930830998
FLJ27354,-0.0685403930730634
LRRC8C,0.00670944335464685
RP5-943J3.2,0
LRRC8D,0.0144531594924852
ZNF326,-0.0236435204745174
RP4-665J23.1,-0.0355828052057919
ZNF644,-0.0518107136124919
CDC7,0.0714861742794335
TGFBR3,0.0127994574609512
BRDT,0
EPHX4,0
SETSIP,0
BTBD8,0
KIAA1107,-0.0189315792356435
GLMN,0.00270636793745728
RPAP2,0.0901385721183027
GFI1,-0.00188939248211905
EVI5,0.0642823162457174
RPL5,0.208922683488965
FAM69A,-0.0379755886999491
MTF2,0.0189786726402053
TMED5,0.042732209572752
CCDC18,0.0283219822158522
DR1,-0.023417763056951
FNBP1L,-0.0266561921221852
BCAR3,-0.0655577626387254
RP5-1033H22.2,0
RP4-561L24.3,-0.0988665660328462
DNTTIP2,-0.0366023144379736
GCLM,0.107935706820942
ABCA4,-0.00221182484374464
ARHGAP29,0.0649763689340579
ABCD3,-0.0289019787061238
F3,-0.0986938965111135
SLC44A3,0
CNN3,0.041856833279963
RP4-639F20.1,-0.0314375383713675
ALG14,-0.0500548036781354
TMEM56,0.0449006303902511
TMEM56-RWDD3,0.0310429227086704
RP11-57H12.3,0
RWDD3,-0.0522984445361017
PTBP2,-0.0377492206453349
DPYD,-0.0709877323780511
SNX7,0.145030616817502
PALMD,0.0438378757756179
FRRS1,-0.0650761001444717
AGL,-0.13875714195846
RP5-884G6.2,0
SLC35A3,0.268770272618552
MFSD14A,0.0946728189880259
SASS6,-0.0243552579307609
TRMT13,-0.0500240869854339
LRRC39,0
DBT,-0.0611014595810128
RTCA-AS1,0.00860597688166427
RTCA,-0.0474351407019035
CDC14A,-0.0411019961785834
GPR88,-0.0432359258051978
VCAM1,-0.0279891760102775
EXTL2,-0.0322625997529312
RP4-549L20.3,0.000507345058655541
SLC30A7,0.221306662265238
DPH5,0.238733763394829
RP11-421L21.2,0
RP11-421L21.3,0.035134776408325
RP4-575N6.4,0.0437314370644276
S1PR1,-0.00727086709253077
RNPC3,0.0428576852953887
AMY2B,-0.0650255279579813
PRMT6,-0.0330345148787625
NTNG1,0
VAV3,-0.073415724505207
VAV3-AS1,0
RP11-356N1.2,0.0586066282845227
SLC25A24,0.084490564026085
RP11-483I13.5,0
FAM102B,0.00137292875108187
HENMT1,-0.0187431271833789
PRPF38B,0.0294998967672466
STXBP3,-0.0496197179175283
RP11-475E11.9,-0.0212724985539949
GPSM2,-0.0417845764138794
CLCC1,0.0897656073973057
WDR47,0.0114199949142201
TAF13,-0.0507433358105608
